名詞,名詞数,動詞,動詞数,形容詞,形容詞数
合理,1,ハマる,2.0,,
判断,4,作る,3.0,,
上,26,込める,1.0,,
目線,14,有る,1.0,,
マウント,7,置く,5.0,,
取り,1,出す,5.0,,
お前,12,思い出す,5.0,,
薄っぺら,1,あう,1.0,,
これ,13,超える,1.0,,
以上,8,ぶちまける,1.0,,
足,5,争う,2.0,,
垢,9,かじる,1.0,,
演劇,3,開き直る,1.0,,
界隈,11,無くす,1.0,,
評価,7,信じ込む,1.0,,
ドン・キホーテ,1,関わる,3.0,,
マネ,1,ゆる,2.0,,
自身,11,踏まえる,2.0,,
指摘,5,ずらす,1.0,,
あと,16,騒ぐ,3.0,,
云々,2,ついてる,6.0,,
講釈,4,延びる,1.0,,
女性,50,かかる,2.0,,
トランス,13,引っかく,1.0,,
加担,8,障る,1.0,,
時間,3,重ねる,1.0,,
思い込み,3,定める,1.0,,
実写,1,脅す,1.0,,
反対,16,わける,5.0,,
言動,10,守れる,1.0,,
意地,2,当てこする,1.0,,
笑,11,照らす,2.0,,
みんな,4,例える,1.0,,
読解,2,似る,1.0,,
力,4,決まる,1.0,,
理解,28,ズレる,1.0,,
どころ,4,茶化す,1.0,,
満載,1,話す,2.0,,
道,1,しる,1.0,,
共感,6,拘る,1.0,,
羞恥,4,売り出す,1.0,,
最終,1,弄る,1.0,,
超絶,1,煮詰める,1.0,,
脇役,2,かぶせる,1.0,,
ら,7,狙う,1.0,,
こ,4,襲う,1.0,,
以前,2,引き起こす,2.0,,
ファシズム,1,則る,1.0,,
運動,4,売る,5.0,,
ゴリ,6,きたす,1.0,,
態度,3,改める,1.0,,
点,8,訳す,1.0,,
マイナス,1,生む,1.0,,
精進,1,かねる,1.0,,
可哀想,5,揉み消す,1.0,,
有名,1,起こる,2.0,,
無名,4,焦げる,1.0,,
他者,1,湿る,1.0,,
権利,13,冒す,1.0,,
誰,12,楽しめる,1.0,,
優位,7,払える,2.0,,
小物,1,下げる,1.0,,
臭,2,働ける,2.0,,
内ゲバ,2,振る,2.0,,
お家芸,1,無くなる,2.0,,
たま,6,語る,4.0,,
れん,1,揉める,1.0,,
嘘,2,投げ込む,1.0,,
ひと昔,1,裁く,1.0,,
行動,4,限る,2.0,,
上等,1,牛耳る,1.0,,
無知,8,騙す,1.0,,
啓蒙,1,まかり通る,1.0,,
効果,1,建てる,1.0,,
最近,6,盛る,1.0,,
私,34,頼る,1.0,,
一緒,5,繋がる,3.0,,
スタンス,1,流す,2.0,,
絶対,12,いむ,2.0,,
やつ,6,落ちる,1.0,,
寝ぼけ,1,憑かれる,1.0,,
奥,1,換える,1.0,,
手,4,関す,1.0,,
奥歯,1,嫌う,1.0,,
ガタガタ,1,笑える,1.0,,
自負,1,死ぬ,1.0,,
迷惑,4,廻る,1.0,,
好例,1,謝る,2.0,,
日本人,17,図る,1.0,,
右,1,飲む,1.0,,
左,1,目覚める,4.0,,
拠り所,3,否める,1.0,,
像,2,重なる,2.0,,
概念,3,行き着く,1.0,,
相手,9,憧れる,1.0,,
女,8,漁る,1.0,,
家父長制,6,ひる,1.0,,
万,1,推す,1.0,,
歳,5,満たす,2.0,,
観,8,持ち込む,1.0,,
内面,3,観る,6.0,,
本社,2,魅せる,1.0,,
クレーム,2,基づく,4.0,,
ろか,1,つくる,1.0,,
陰湿,2,奪う,2.0,,
目,6,まぎれる,1.0,,
アパート,1,踏みつける,2.0,,
大家,3,悲しむ,1.0,,
隣,1,出せる,1.0,,
結婚,2,有難がる,1.0,,
父,1,好く,3.0,,
夫,1,当てる,2.0,,
父親,2,寄り添える,1.0,,
代わり,1,立てる,1.0,,
監督,1,逃れる,1.0,,
ソリ,2,果たす,3.0,,
半年,1,驚く,1.0,,
とこ,4,偏る,1.0,,
きっかけ,3,負う,1.0,,
せい,10,おもう,1.0,,
修繕,1,請う,1.0,,
ついで,2,かす,1.0,,
真っ赤,1,会う,1.0,,
落ち度,3,舐める,1.0,,
敷金,1,言い立てる,1.0,,
無視,7,集める,1.0,,
くせ,14,支払う,1.0,,
署名,1,貯める,1.0,,
実印,1,残る,2.0,,
内容,3,堪える,1.0,,
証明,3,結びつける,1.0,,
返金,1,賄える,1.0,,
夫婦,3,笑う,1.0,,
同姓,2,渡る,1.0,,
賛成,2,呟く,1.0,,
男性,41,漏らす,1.0,,
姓,2,あてつける,1.0,,
母親,2,取り消す,2.0,,
旧姓,1,頑張る,1.0,,
冗談,1,騙る,1.0,,
半分,1,陥る,2.0,,
姉さん,1,してやる,1.0,,
独身,1,めぐる,1.0,,
子,4,飽きる,1.0,,
代,4,乗る,5.0,,
残念,1,言い切る,1.0,,
跡,1,怒鳴る,1.0,,
予想,2,聞き入れる,1.0,,
ノリノリ,1,走る,2.0,,
返答,1,働く,1.0,,
名字,1,引き上げる,1.0,,
廃止,2,吸い込む,1.0,,
友人,3,報う,1.0,,
影響,1,向く,1.0,,
回,3,行う,2.0,,
ライブ,1,横たわる,1.0,,
当該,3,仕上げる,1.0,,
去年,1,つぎ込む,1.0,,
当時,3,抱く,4.0,,
そのもの,5,かう,1.0,,
闇,1,持ち出す,2.0,,
手紙,5,握る,1.0,,
ネット,10,潰せる,1.0,,
二者択一,1,直す,1.0,,
可能,6,習う,1.0,,
情熱,1,勝ち取る,1.0,,
後,7,富める,1.0,,
助長,4,富む,1.0,,
烙印,1,こぼれ落ちる,1.0,,
無自覚,6,せがむ,1.0,,
正義,7,聞かす,1.0,,
棒,1,擦り込む,1.0,,
醜悪,1,休める,1.0,,
表,3,即す,1.0,,
戦士,7,怯える,5.0,,
白,2,覚える,2.0,,
スカート,1,酔う,1.0,,
セクハラ,3,唱える,1.0,,
愛情,1,きめる,1.0,,
表現,15,思い上がる,2.0,,
今,13,戒める,2.0,,
武術,1,揺るぐ,1.0,,
会,4,知れる,1.0,,
編,3,のめり込む,1.0,,
王道,3,みせる,2.0,,
ジャンプ,2,こう,1.0,,
仙水,1,怖がる,5.0,,
あたり,8,貶す,1.0,,
アンチテーゼ,1,破る,1.0,,
趣味,2,泊める,2.0,,
自体,5,愛す,2.0,,
程度,3,そらす,1.0,,
アニメ,2,離れる,1.0,,
決定,4,突き止める,1.0,,
賞,4,切り分ける,1.0,,
受賞,2,くくる,1.0,,
タイミング,4,憎む,1.0,,
変態,1,渦巻く,1.0,,
読者,3,防ぐ,1.0,,
ヒロイン,1,訴える,1.0,,
元,1,恨む,1.0,,
姿,2,裁ける,2.0,,
要素,3,持て囃す,1.0,,
数,10,きく,1.0,,
情勢,1,おう,1.0,,
反映,2,潰す,1.0,,
主流,3,取れる,1.0,,
常人,1,上り詰める,1.0,,
露,3,強いる,1.0,,
悪さ,1,疑う,1.0,,
キツ,5,助ける,1.0,,
無理,6,差し挟む,1.0,,
猫,4,論じる,2.0,,
不動産,1,向ける,1.0,,
屋,1,転じる,1.0,,
あれ,4,壊れる,1.0,,
検索,2,及ぶ,1.0,,
久々,2,苛立つ,1.0,,
外見,3,やり合う,1.0,,
性的,1,推し進める,1.0,,
指向,1,買い換える,1.0,,
ギャグ,3,買う,1.0,,
直球,2,拗る,1.0,,
十,1,くう,2.0,,
アップデート,1,演じる,1.0,,
大事,17,強める,1.0,,
連載,2,注ぎ込む,1.0,,
新巻,1,冴える,1.0,,
岡田,1,ビビる,1.0,,
復刻,1,起こす,1.0,,
版,1,預かる,1.0,,
雑技,1,囚われる,1.0,,
団,2,断る,1.0,,
収録,1,貶める,1.0,,
おまけ,1,捏ねくる,1.0,,
こいつ,3,回す,1.0,,
％,1,行ける,1.0,,
伝説,1,やれる,1.0,,
同士,3,出会う,2.0,,
同性愛,2,留める,1.0,,
記述,1,憤る,1.0,,
年代,6,迷う,1.0,,
前半,1,増える,1.0,,
時点,7,,,,
ホモ,3,,,,
初期,2,,,,
政府,7,,,,
中高年,3,,,,
観察,2,,,,
良心,2,,,,
外側,2,,,,
外国,4,,,,
生活,3,,,,
困窮,1,,,,
冷酷,1,,,,
権威,7,,,,
クズ,4,,,,
法律,6,,,,
追放,1,,,,
法,13,,,,
整備,2,,,,
重要,4,,,,
完全,2,,,,
パラレル,1,,,,
ワールド,1,,,,
報告,1,,,,
観測,2,,,,
範囲,1,,,,
値,1,,,,
物,4,,,,
休職,1,,,,
出,1,,,,
自尊心,2,,,,
回復,1,,,,
ケース,2,,,,
いくつ,1,,,,
何者,4,,,,
尊重,7,,,,
人権,14,,,,
たち,7,,,,
自縄自縛,1,,,,
まじ,2,,,,
男,11,,,,
首都,1,,,,
圏,1,,,,
在住,1,,,,
バスケ,2,,,,
バレー,1,,,,
身長,1,,,,
体育,1,,,,
体型,1,,,,
部,5,,,,
偽,1,,,,
記憶,2,,,,
中毒,1,,,,
ブック,1,,,,
弱肉強食,1,,,,
監修,2,,,,
語,4,,,,
方々,1,,,,
僕,1,,,,
コメント,2,,,,
日,2,,,,
同胞,1,,,,
祖父,1,,,,
延長,1,,,,
戦,1,,,,
へん,10,,,,
立ち,1,,,,
位置,1,,,,
よ,4,,,,
キャッチフレーズ,1,,,,
人種,4,,,,
アウト,1,,,,
編集,6,,,,
意見,11,,,,
言い方,8,,,,
圧力,4,,,,
顔色,1,,,,
上司,2,,,,
部下,1,,,,
個々人,3,,,,
結果,6,,,,
許容,1,,,,
側,28,,,,
抗議,4,,,,
どん,1,,,,
得意,2,,,,
先,2,,,,
棍棒,1,,,,
大好き,2,,,,
臣民,1,,,,
しぐさ,1,,,,
著作,12,,,,
権,17,,,,
侵害,13,,,,
対価,2,,,,
目的,2,,,,
親告罪,1,,,,
告訴,2,,,,
罪,3,,,,
印象,5,,,,
操作,1,,,,
過去,2,,,,
一切,3,,,,
台詞,3,,,,
先回り,1,,,,
正直,3,,,,
過剰,2,,,,
言い訳,2,,,,
文化庁,1,,,,
メディア,1,,,,
芸術,3,,,,
祭,1,,,,
担当,2,,,,
座談,1,,,,
動画,1,,,,
配信,1,,,,
先生,1,,,,
下品,1,,,,
誇らしげ,1,,,,
ノリ,4,,,,
共有,7,,,,
ソ,2,,,,
感,20,,,,
銀,4,,,,
魂,4,,,,
放送,1,,,,
コード,1,,,,
嫌,4,,,,
強者,1,,,,
錯覚,1,,,,
仲,1,,,,
理不尽,2,,,,
西原,3,,,,
理恵子,3,,,,
結局,5,,,,
ぶり,4,,,,
搾取,3,,,,
在日,1,,,,
韓国,14,,,,
帰化,2,,,,
した,1,,,,
スパイ,1,,,,
不当,2,,,,
絶大,1,,,,
機構,1,,,,
逆,3,,,,
同列,1,,,,
非対称,3,,,,
圧倒的,3,,,,
ネル,1,,,,
精神,7,,,,
タイプ,2,,,,
障害,1,,,,
ナチス,1,,,,
勢,2,,,,
笑い,2,,,,
家族,2,,,,
自他,1,,,,
境界,1,,,,
無頼漢,1,,,,
つまり,3,,,,
ただ,9,,,,
最初,4,,,,
利用,5,,,,
表面,1,,,,
反骨,1,,,,
パターン,3,,,,
高須,1,,,,
克,1,,,,
弥,1,,,,
面白,5,,,,
最低,1,,,,
最悪,3,,,,
綺麗事,1,,,,
露悪,1,,,,
パンク,1,,,,
感覚,6,,,,
子供,4,,,,
学校,4,,,,
公権力,4,,,,
自由,15,,,,
公,1,,,,
後ろ,2,,,,
わけ,16,,,,
児童,1,,,,
至極,1,,,,
真っ当,2,,,,
先駆け,1,,,,
和人,10,,,,
状況,4,,,,
文章,1,,,,
大丈夫,1,,,,
あなた,6,,,,
主観,5,,,,
客観,2,,,,
事実,8,,,,
暴言,3,,,,
違い,7,,,,
進学,1,,,,
就職,1,,,,
自分勝手,1,,,,
定義,4,,,,
厳密,1,,,,
必要,11,,,,
蓄積,2,,,,
それら,5,,,,
常套,3,,,,
手段,4,,,,
