名詞,名詞数,動詞,動詞数,形容詞,形容詞数
サラダ,4,言い聞かせる,3.0,ぬるい,1.0
匿名,16,漏れる,5.0,近しい,1.0
配送,15,たらし込む,2.0,細かい,2.0
サービス,7,押し切る,1.0,男らしい,4.0
注文,15,聞く,41.0,味わい深い,3.0
月,152,感じる,60.0,くろい,1.0
日,209,得る,46.0,安い,5.0
時,54,結ぶ,7.0,おもろい,1.0
受付,6,基づく,14.0,なつかしい,1.0
関心,43,成り立つ,4.0,かわいらしい,1.0
ところ,141,暮らす,8.0,生々しい,5.0
機能,30,かたちづくる,5.0,ままならない,4.0
任意,1,話し合う,4.0,色っぽい,1.0
金額,6,嫌がる,1.0,凄い,1.0
商品,7,暮らせる,1.0,ねちっこい,3.0
代金,1,惜しむ,1.0,とてつもない,2.0
上乗せ,5,募る,6.0,等しい,7.0
却下,1,きく,7.0,おそろしい,3.0
物,10,勤しむ,1.0,人懐っこい,1.0
札幌,19,滾る,1.0,おそれおおい,1.0
心,91,兼ねる,2.0,うつくしい,1.0
好き,112,掘る,2.0,手厚い,2.0
書き手,8,乱す,2.0,初々しい,1.0
甘草,22,かき乱す,1.0,くすい,3.0
細部,4,欠かす,1.0,きびしい,2.0
甲斐,1,なくす,3.0,果てしない,1.0
感動,12,外せる,2.0,ていたい,1.0
もと,51,なす,9.0,毛頭ない,2.0
一人称,3,くらべる,1.0,喜ばしい,4.0
視点,28,評す,11.0,かいがいしい,2.0
他,26,盛り上がる,6.0,ほど遠い,1.0
なか,46,教える,31.0,後ろめたい,1.0
特別,14,あげる,18.0,危ない,1.0
思い入れ,4,くだす,11.0,人間らしい,1.0
心配,7,あふれる,14.0,ええ,1.0
安堵,2,はやる,2.0,淡い,1.0
全部,3,戦う,23.0,すい,1.0
賢者,1,行ける,11.0,きつい,1.0
タイム,9,愛す,10.0,苦い,1.0
名前,31,分ける,6.0,すっぱい,1.0
画家,20,苦しむ,6.0,危うい,8.0
友人,20,決定づける,3.0,おびただしい,1.0
相談,3,招く,2.0,あぶない,2.0
彼女,25,経る,22.0,ばかばかしい,1.0
経験,33,賭す,2.0,虚しい,1.0
虚構,12,薄める,1.0,ほろ苦い,1.0
勝手,10,かねる,12.0,畏れ多い,1.0
ば,5,ふる,14.0,たやすい,2.0
失望,7,置く,25.0,細長い,1.0
おかげ,17,あらわれる,2.0,したわしい,1.0
虚無僧,3,す,10.0,暑い,1.0
状態,16,戻す,5.0,醜い,1.0
言葉,99,頑張る,6.0,卑しい,5.0
ゆえ,25,涙す,2.0,めんどくさい,1.0
隙間,1,思い出す,14.0,羨ましい,1.0
作業,13,深める,16.0,勇ましい,1.0
帰り,2,引き込む,2.0,惨たらしい,2.0
飛行機,1,込める,10.0,数多い,1.0
おかけ,3,いらっしゃる,12.0,めでたい,13.0
無事,4,けす,3.0,物憂い,1.0
羽田,6,合う,27.0,いたわしい,1.0
設計,7,読み返す,13.0,あさい,1.0
図,4,なじめる,1.0,暖かい,3.0
新た,21,色褪せる,1.0,麗しい,1.0
展開,60,上げる,24.0,狂おしい,1.0
登場,69,浮かぶ,4.0,しょぼい,1.0
人物,90,届く,24.0,汚い,1.0
だらけ,2,見つめる,4.0,脆い,1.0
いずれ,19,しいる,1.0,言うまでもない,2.0
だめ,17,まく,1.0,寂しい,1.0
衝動,5,まとめる,8.0,面倒くさい,2.0
夏,20,震える,13.0,青い,1.0
開業,3,除く,3.0,忙しない,1.0
ホテル,28,足りる,6.0,あつい,1.0
植物,4,さらす,12.0,しつこい,2.0
園,10,堪える,4.0,やるせない,1.0
見晴らし,3,驚く,20.0,浅ましい,1.0
来月,5,焦る,2.0,嘆かわしい,1.0
お礼,9,騒がせる,3.0,耐えがたい,1.0
売り物,3,晒す,2.0,やむを得ない,1.0
お金,4,叱る,1.0,よろこばしい,1.0
告知,1,申しつける,1.0,いち早い,1.0
以下,21,晴れる,4.0,ふさわしい,1.0
書き,21,落とす,13.0,毛深い,1.0
細か,4,差し出す,4.0,耐え難い,1.0
設定,38,掴む,1.0,余儀ない,2.0
たび,19,しがみつく,2.0,差し出がましい,2.0
関係,96,蹴る,6.0,何気ない,1.0
論文,14,ぶつ,3.0,著しい,1.0
普段,4,ちぎれる,1.0,おそい,1.0
領域,1,燃える,3.0,注意深い,1.0
当たり前,7,つづける,3.0,思しい,1.0
小説,61,焼く,7.0,さびしい,2.0
最高,98,差し込む,2.0,,
二,165,差し伸べる,1.0,,
次,140,持つ,97.0,,
創作,103,渡る,10.0,,
嘘,14,投げる,10.0,,
よう,616,唸る,3.0,,
装丁,3,頼む,6.0,,
旨み,1,偽る,2.0,,
ずさん,1,あらわす,1.0,,
新作,13,集う,2.0,,
菊,12,用いる,15.0,,
皆,11,めぐる,23.0,,
文字,29,際立つ,11.0,,
広範囲,1,備わる,2.0,,
一つ,15,役立つ,12.0,,
権力,17,起こす,15.0,,
確立,5,やる,128.0,,
集中,6,なれる,15.0,,
手段,14,気に入る,3.0,,
知識,17,殴る,12.0,,
中央,49,目指す,12.0,,
集権,4,置ける,2.0,,
型,20,見積もる,1.0,,
保存,10,尽きる,7.0,,
そのもの,25,うたう,3.0,,
想像,33,儲ける,1.0,,
共同,23,売る,5.0,,
体,37,疑う,7.0,,
もん,6,むきだす,1.0,,
契機,6,押し付ける,6.0,,
民,45,まみれる,1.0,,
族,29,走る,5.0,,
問題,165,控える,5.0,,
研究,54,腐る,5.0,,
著者,6,曇る,2.0,,
おすすめ,23,空く,6.0,,
日本,150,いける,23.0,,
発展,4,受ける,48.0,,
先住民,33,並べる,8.0,,
人口,4,取り巻く,4.0,,
植民,36,ぼやく,1.0,,
地,59,出かける,2.0,,
主義,100,買う,20.0,,
継続,6,転ずる,2.0,,
支配,38,行う,34.0,,
民族,190,扱う,13.0,,
特徴,8,はじく,1.0,,
土地,25,求める,22.0,,
入植,9,当てる,10.0,,
開拓,8,乗っ取る,4.0,,
定住,2,飲み込む,1.0,,
占有,2,物語る,4.0,,
権利,45,限る,8.0,,
法的,3,祝う,11.0,,
制度,26,めす,1.0,,
的,474,罵る,3.0,,
形,34,投げこむ,1.0,,
土,27,漂う,1.0,,
保,2,立てる,14.0,,
護,1,とどこおる,1.0,,
法,36,祈る,12.0,,
意図,16,おもう,2.0,,
歴史,118,染める,4.0,,
学者,9,付く,1.0,,
山川,1,願える,1.0,,
明治,48,降る,1.0,,
政府,31,挟む,4.0,,
思考,21,比べる,11.0,,
停止,6,通う,6.0,,
識者,1,使える,9.0,,
揶揄,6,好く,5.0,,
気持ち,49,しみこむ,1.0,,
雑多,3,取り戻す,8.0,,
アカウント,27,重なる,20.0,,
自由,47,投げ込む,2.0,,
次号,2,届ける,6.0,,
休載,3,つぶやく,12.0,,
房太郎,30,ときほぐす,1.0,,
表紙,13,扱ぐ,1.0,,
コマ,10,気がつく,12.0,,
元,310,託す,5.0,,
微塵,2,だらける,1.0,,
そう,105,集まる,5.0,,
自ら,53,あわせる,3.0,,
記憶,7,含む,18.0,,
痕跡,1,違う,32.0,,
家族,36,育む,1.0,,
達,15,従う,4.0,,
希望,29,つくれる,12.0,,
復讐,5,く,38.0,,
ソフィア,69,作る,9.0,,
動機,22,包む,3.0,,
誰,94,亡くなる,4.0,,
ら,43,解ける,8.0,,
革命,46,くわえる,3.0,,
家,82,からむ,3.0,,
組織,8,注ぐ,3.0,,
際,49,育てる,7.0,,
白石,23,もうける,5.0,,
選択,41,戦える,1.0,,
大丈夫,10,きたる,1.0,,
傷,30,止める,3.0,,
俺,114,住む,6.0,,
魂,18,架かる,1.0,,
いなか,1,落ち合う,1.0,,
セリフ,7,泣く,10.0,,
フラグ,7,思い浮かべる,2.0,,
死,104,暴く,8.0,,
右肩,1,飛ぶ,3.0,,
右,12,立つ,16.0,,
耳,8,崩れる,3.0,,
鯉,171,ねじれる,9.0,,
登,114,言い換える,4.0,,
肩,1,たつ,6.0,,
菊田,38,加わる,5.0,,
蜂の巣,2,見える,49.0,,
引導,3,引き出す,7.0,,
ダメージ,4,尋ねる,3.0,,
蓄積,5,肥す,1.0,,
退場,11,満たす,2.0,,
様子,17,あたる,7.0,,
不死身,24,ちらつく,1.0,,
異様,1,浮く,5.0,,
数,55,戻る,17.0,,
最期,30,受け継ぐ,1.0,,
余力,1,思いとどまれる,1.0,,
連載,20,かむ,8.0,,
再開,12,思い返す,2.0,,
後,59,見つける,17.0,,
ライン,11,かみしめる,8.0,,
真,11,想う,11.0,,
悩み,1,憤る,5.0,,
連れ合い,36,値する,3.0,,
議論,26,踏みにじる,1.0,,
相手,32,かりる,1.0,,
ちょう,2,つかれる,14.0,,
日常,6,踏まえる,15.0,,
会話,12,近づく,4.0,,
元気,18,眠る,4.0,,
さく,45,畳む,6.0,,
給料,2,汲み出す,1.0,,
いつか,23,愛でる,3.0,,
人生,69,惹く,3.0,,
気,108,相次ぐ,1.0,,
支給,1,焼ける,1.0,,
額,8,見せる,33.0,,
同和,3,気付く,6.0,,
